行业,行业细分,公司,涨跌幅,市值
工业,工业制品,中科电气,2.11,22701208000.0
基础材料,化工,南玻Ｂ,-0.4,22649064000.0
金融服务,资本市场,太平洋,2.15,22630170000.0
医疗保健,医药制造,派林生物,-1.72,22628327000.0
工业,工业制品,鹏辉能源,-4.5,22625865000.0
科技,软件,光环新网,-0.07,22607000000.0
周期性消费,零售,百联Ｂ股,1.2,22606143000.0
医疗保健,医药制造,健康元,0.68,22540383000.0
科技,半导体,全志科技,3.58,22534532000.0
科技,软件,千方科技,3.71,22527465000.0
房地产,房地产,万通发展,10.04,22511942000.0
科技,硬件,天音控股,-0.54,22459951000.0
